GRUPO;1;2;3;4;5;6;7;8;9;10;T;Nº sonidos;Autostop;T;Npalabras simples;Autostop;T;Npalabras sin sent;Autostop;T;Npalabras lectura;Primero;segundo;tercero;cuarto;quinto;uno;dos;tres;cuatro;OBSERVACIONES;a. Identificación del sonido inicial;A. Conocimiento sonido de las letras sin tiempo;A. Lectura de palabras simples;A. Decodificación de palabras sin sentidos;A. Lectura de un pasaje;A. Lectura de un pasaje preguntas;A. Comprensión oral;B. Identificación del sonido inicial;B. Identificación del sonido inicial;B. Conocimiento sonido de las letras sin tiempo;B. Lectura de palabras simples;B. Decodificación de palabras sin sentido;B. Lectura de un pasaje;B. Lectura de un pasaje (preguntas);B. Lectura de un pasaje (preguntas);B. Comprensión oral;B. Comprensión oral;c. Identificación del sonido inicial;c. Conocimiento sonido de las letras sin tiempo;c. Lectura de palabras simples;c. Decodificación de palabras sin sentidos;c. Lectura de un pasaje;c. Lectura de un pasaje preguntas;c. Comprensión oral;GLOBAL;ESCALA GLOBAL
101;C;C;C;C;C;N;N;N;N;N;30;10;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;NO;NO;SI;5;NORMAL;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;2;0;0;0;0;0;2;4;BAJO
101;C;C;C;N;N;N;N;N;N;N;20;5;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;C;I;N;C;;NO;SI;NO;NO;NO;NO;NO;3;REGULAR;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;1;0;0;0;0;0;1;2;BAJO
101;C;C;N;N;N;N;N;N;N;N;20;10;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;C;N;C;N;;NO;SI;NO;NO;NO;NO;NO;2;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
101;C;C;C;N;N;N;N;N;N;N;10;0;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;C;N;N;C;;NO;NO;NO;NO;NO;NO;NO;3;REGULAR;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;1;0;0;0;0;0;1;2;BAJO
101;C;C;C;N;N;N;N;N;N;N;10;0;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;C;C;C;C;;NO;NO;NO;NO;NO;NO;SI;3;REGULAR;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;1;0;0;0;0;0;2;3;BAJO
101;C;C;I;I;C;N;N;I;I;N;20;10;SI;20;5;SI;10;0;SI;10;0;N;N;N;N;N;N;N;;;;NO;SI;SI;NO;NO;NO;NO;3;REGULAR;BAJO;BAJO;BAJO;BAJO;0;BAJO;0;BAJO;1;0;0;0;0;0;0;1;BAJO
101;C;C;C;C;C;C;C;C;C;C;60;24;SI;60;29;SI;60;27;SI;60;37;N;C;N;I;C;C;C;C;C;;SI;SI;SI;SI;SI;NO;SI;10;NORMAL;REGULAR;REGULAR;REGULAR;REGULAR;2;REGULAR;4;NORMAL;2;1;1;1;1;1;2;9;REGULAR
102;C;C;I;N;N;N;N;N;N;N;30;10;SI;30;0;SI;30;0;SI;30;0;N;N;N;N;N;C;C;N;I;;NO;SI;NO;NO;NO;NO;NO;2;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
102;C;C;C;C;C;C;C;I;C;I;30;19;SI;60;15;SI;30;5;SI;30;5;N;N;N;N;N;C;C;C;C;;NO;SI;SI;SI;SI;NO;SI;8;NORMAL;REGULAR;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;2;1;0;0;0;0;2;5;REGULAR
103;C;C;C;I;N;N;N;N;N;N;15;8;SI;15;0;SI;15;0;SI;15;8;N;N;N;N;N;C;C;I;C;;NO;SI;NO;NO;SI;NO;NO;3;REGULAR;BAJO;BAJO;BAJO;BAJO;0;BAJO;3;NORMAL;1;0;0;0;0;0;2;3;BAJO
101;I;I;I;N;N;N;N;N;N;N;20;10;SI;10;2;SI;10;1;SI;10;0;N;N;N;N;N;C;C;N;N;;NO;SI;SI;SI;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
101;I;I;I;I;N;I;N;N;N;N;20;10;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;N;C;N;N;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
101;I;N;I;N;N;N;N;N;N;N;25;9;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;N;C;N;C;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
101;I;I;I;I;N;N;N;N;N;N;10;0;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;N;N;N;C;;NO;NO;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
102;I;I;I;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;I;I;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
102;I;I;I;I;I;N;N;N;N;N;30;10;SI;30;1;SI;30;1;SI;30;0;N;N;N;N;N;C;C;I;I;;NO;SI;SI;SI;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
102;I;C;I;I;I;I;I;N;N;N;20;9;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;I;I;;NO;SI;NO;NO;NO;NO;NO;1;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
102;I;I;I;I;I;N;N;N;N;N;10;0;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;I;C;I;C;;NO;NO;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
102;I;I;I;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;I;I;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
102;I;C;C;I;I;I;I;I;I;I;20;10;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;NO;NO;SI;2;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
102;I;I;I;I;I;I;I;I;I;I;20;10;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
102;I;I;I;I;I;I;I;I;I;I;20;9;SI;20;9;SI;20;0;SI;20;0;N;N;N;N;N;I;I;I;C;;NO;SI;SI;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
102;I;C;I;C;I;I;I;I;C;I;20;10;SI;20;0;SI;20;10;SI;20;0;N;N;N;N;N;C;C;I;C;;NO;SI;NO;SI;NO;NO;NO;3;REGULAR;BAJO;BAJO;BAJO;BAJO;0;BAJO;3;NORMAL;1;0;0;0;0;0;2;3;BAJO
102;I;I;I;I;I;I;I;I;I;I;20;8;SI;20;0;SI;20;8;SI;20;0;N;N;N;N;N;C;I;I;I;;NO;SI;NO;SI;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
101;N;N;N;N;N;N;N;N;N;N;10;0;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;N;N;N;N;;NO;NO;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;0;BAJO;0;0;0;0;0;0;0;0;BAJO
101;N;N;N;N;N;N;N;N;N;N;20;5;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;I;N;N;N;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;0;BAJO;0;0;0;0;0;0;0;0;BAJO
101;N;N;N;N;N;N;I;N;N;N;20;5;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
101;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
101;N;N;N;N;N;N;N;N;N;N;20;5;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
101;N;N;N;N;N;N;N;N;N;N;10;5;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;C;I;N;I;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
101;N;N;N;N;N;N;N;N;N;N;20;4;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;I;N;I;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
101;N;N;N;N;N;N;N;N;N;N;20;12;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;N;N;C;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
101;N;N;N;N;N;N;N;N;N;N;18;10;SI;18;0;SI;18;0;SI;18;0;N;N;N;N;N;C;N;I;C;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
101;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;I;C;C;C;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;3;NORMAL;0;0;0;0;0;0;2;2;BAJO
102;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;10;SI;20;0;SI;20;10;N;N;N;N;N;C;I;C;I;;NO;SI;SI;NO;SI;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
102;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;10;SI;20;0;N;N;N;N;N;C;I;I;I;;NO;SI;NO;SI;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;I;C;C;N;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;0;SI;20;10;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;SI;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;10;8;SI;10;0;SI;10;8;SI;10;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;SI;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;3;SI;20;0;SI;20;3;SI;20;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;SI;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;8;SI;20;0;SI;20;0;SI;20;8;N;N;N;N;N;C;I;C;C;;NO;SI;NO;NO;SI;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;3;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;6;SI;20;0;SI;20;0;SI;20;6;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;SI;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;60;15;SI;60;15;SI;60;0;SI;60;0;C;C;C;N;N;C;C;C;C;;NO;SI;SI;NO;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;3;REGULAR;4;NORMAL;0;0;0;0;0;1;2;3;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;10;SI;20;0;N;N;N;N;N;C;C;N;C;;NO;SI;NO;SI;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;3;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;8;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;N;I;C;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;15;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;I;I;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;6;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;N;I;C;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;8;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;N;N;N;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;4;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;I;N;N;C;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;12;SI;20;12;SI;20;0;SI;20;0;N;N;N;N;N;C;N;C;C;;NO;SI;SI;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;3;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;10;0;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;N;N;N;N;;NO;NO;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;0;BAJO;0;0;0;0;0;0;0;0;BAJO
103;N;N;N;N;N;N;N;N;N;N;10;0;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;N;N;N;N;;NO;NO;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;0;BAJO;0;0;0;0;0;0;0;0;BAJO
103;N;N;N;N;N;N;N;N;N;N;10;0;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;N;N;N;N;;NO;NO;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;0;BAJO;0;0;0;0;0;0;0;0;BAJO
